url	first_seen	portal	title	company	status	location
https://jobs.ashbyhq.com/deepgram/7cf277bc-a192-4007-a77a-fafbf8276a5e	2026-07-17	ashby-api	Research Staff, Voice AI Foundations	Deepgram	added	USA | Remote · San Francisco, CA · San Francisco · United States · Ann Arbor, MI · Global | Remote (NA / LATAM / EMEA / APAC)		2026-06-24
https://jobs.ashbyhq.com/deepgram/f424ef6a-c27f-4984-9e77-40a1ad16ae28	2026-07-17	ashby-api	Platform Engineer - AI/ML Infrastructure (Kubernetes & Terraform)	Deepgram	added	USA | Remote		2026-07-03
https://jobs.ashbyhq.com/deepgram/ff392127-1eb6-4fc7-838e-a3243923ba76	2026-07-17	ashby-api	Systems Architect AI/ML Infrastructure	Deepgram	added	USA | Remote		2026-04-06
https://jobs.ashbyhq.com/deepgram/c91de352-9f25-479e-8877-fbea9576a52c	2026-07-17	ashby-api	Head of AI Enablement Engineering	Deepgram	added	USA | Remote		2026-07-09
https://jobs.ashbyhq.com/deepgram/1c34f6ba-6998-447c-9485-d4cf56db42de	2026-07-17	ashby-api	Senior Technical Program Manager (Engineering) - AI Tooling & Systems	Deepgram	added	USA | Remote		2026-07-09
https://jobs.ashbyhq.com/deepgram/fea36d64-10f4-4531-bfa9-a917118a570b	2026-07-17	ashby-api	VP of Demand Generation	Deepgram	added	USA | Remote		2026-07-07
https://jobs.ashbyhq.com/langchain/7441ccb7-bc77-4966-8d2f-e9ff487bc651	2026-07-17	ashby-api	Marketing Operations Strategy	LangChain	added	Remote - US		2026-07-15
https://jobs.ashbyhq.com/glacis-ai/4c0eeaf6-4cfe-445e-be98-723ca23f3508	2026-07-17	ashby-api	Growth Marketing Lead	Glacis AI	added	Remote		2026-07-07
https://jobs.ashbyhq.com/synthesia/b073c9cc-3053-47e7-b4c1-7a471d4c6ffe	2026-07-17	ashby-api	Revenue Operations Manager	Synthesia	added	Remote		2026-06-26
https://job-boards.eu.greenhouse.io/amplemarket/jobs/4650038101	2026-07-17	greenhouse-api	Senior Revenue Operations Manager	Amplemarket	added	Remote, EMEA/US		2025-08-05
https://job-boards.greenhouse.io/hightouch/jobs/6097447004	2026-07-17	greenhouse-api	AI Creative Designer, Email	Hightouch	added	Remote, United States		2026-06-19
https://job-boards.greenhouse.io/hightouch/jobs/5618829004	2026-07-17	greenhouse-api	AI Strategy Consultant	Hightouch	added	Remote (North America)		2025-08-21
https://job-boards.greenhouse.io/hightouch/jobs/6103070004	2026-07-17	greenhouse-api	Senior Product Designer, AI Creative Tools	Hightouch	added	Remote, United States		2026-06-26
https://job-boards.greenhouse.io/hightouch/jobs/5542602004	2026-07-17	greenhouse-api	Software Engineer, AI Agents	Hightouch	added	Remote (North America)		2025-10-30
https://job-boards.greenhouse.io/hightouch/jobs/6020404004	2026-07-17	greenhouse-api	Staff Engineer, AI Productivity	Hightouch	added	Remote (North America)		2026-06-11
https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2091035	2026-07-18	remotive-api	Mid/Senior AI Cinematic Video Editor	EverAI	added	Worldwide		
https://himalayas.app/companies/impact-brands/jobs/executive-assistant-to-the-chief-marketing-officer	2026-07-18	himalayas-api	Executive Assistant to the Chief Marketing Officer	Impact Brands	added			2026-07-17
https://himalayas.app/companies/inv/jobs/religion-specialist-freelance-ai-trainer-project-994632318	2026-07-18	himalayas-api	Religion Specialist – Freelance AI Trainer Project	Invisible Technologies	added			2026-07-17
https://remoteOK.com/remote-jobs/remote-content-digital-marketing-specialist-outsource-access-careers-1134932	2026-07-18	remoteok-api	Content & Digital Marketing Specialist	Outsource Access Careers	added			
https://weworkremotely.com/remote-jobs/clover-labs-ai-campaign-manager-seo-ai-content	2026-07-18	weworkremotely-api	Campaign Manager - SEO & AI Content	Clover Labs AI	added	Anywhere in the World		2026-07-16
https://weworkremotely.com/remote-jobs/bentley-systems-content-marketing-manager	2026-07-18	weworkremotely-api	Content Marketing Manager	Bentley Systems	added	Anywhere in the World		2026-07-16
